WARNING 2021-07-15 10:51:32,300 "GET /favicon.ico HTTP/1.1" 404 6202
WARNING 2021-07-15 10:51:32,317 Not Found: /favicon.ico
WARNING 2021-07-15 10:51:32,318 "GET /favicon.ico HTTP/1.1" 404 6202
WARNING 2021-07-15 10:51:32,332 Not Found: /favicon.ico
WARNING 2021-07-15 10:51:32,332 "GET /favicon.ico HTTP/1.1" 404 6202
INFO 2021-07-15 10:51:57,128 "POST /accounts/login/ HTTP/1.1" 302 0
INFO 2021-07-15 10:51:57,272 "GET / HTTP/1.1" 200 9290
INFO 2021-07-15 10:51:57,349 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 304 0
INFO 2021-07-15 10:51:57,374 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 304 0
INFO 2021-07-15 10:51:57,587 "GET /static/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 0
INFO 2021-07-15 10:52:02,550 "GET /student/list HTTP/1.1" 200 9946
INFO 2021-07-15 10:52:07,917 "GET /student/create/ HTTP/1.1" 200 13612
INFO 2021-07-15 10:52:36,074 "GET /site-config HTTP/1.1" 200 10875
INFO 2021-07-15 10:52:40,663 "GET /session/list/ HTTP/1.1" 200 11598
INFO 2021-07-15 10:52:45,830 "GET /student/list HTTP/1.1" 200 9946
INFO 2021-07-15 10:52:48,552 "GET /student/list HTTP/1.1" 200 9946
INFO 2021-07-15 10:52:51,319 "GET /result/create/ HTTP/1.1" 200 10386
INFO 2021-07-15 10:53:05,875 "GET /student/list HTTP/1.1" 200 9946
INFO 2021-07-15 15:52:09,864 Watching for file changes with StatReloader
INFO 2021-07-15 15:53:11,381 /home/theprogrammer/Schoo wit django/Django-School-Management-System/apps/corecode/models.py changed, reloading.
INFO 2021-07-15 15:53:11,831 Watching for file changes with StatReloader
INFO 2021-07-15 15:53:13,134 /home/theprogrammer/Schoo wit django/Django-School-Management-System/apps/corecode/models.py changed, reloading.
INFO 2021-07-15 15:53:13,513 Watching for file changes with StatReloader
INFO 2021-07-15 15:53:18,851 /home/theprogrammer/Schoo wit django/Django-School-Management-System/apps/corecode/models.py changed, reloading.
INFO 2021-07-15 15:53:19,356 Watching for file changes with StatReloader
INFO 2021-07-15 15:53:20,682 /home/theprogrammer/Schoo wit django/Django-School-Management-System/apps/corecode/models.py changed, reloading.
INFO 2021-07-15 15:53:21,072 Watching for file changes with StatReloader
INFO 2021-07-15 15:53:23,516 /home/theprogrammer/Schoo wit django/Django-School-Management-System/apps/corecode/models.py changed, reloading.
INFO 2021-07-15 15:53:23,848 Watching for file changes with StatReloader
INFO 2021-07-15 15:53:28,037 /home/theprogrammer/Schoo wit django/Django-School-Management-System/apps/corecode/models.py changed, reloading.
INFO 2021-07-15 15:53:28,396 Watching for file changes with StatReloader
INFO 2021-07-15 15:53:30,585 /home/theprogrammer/Schoo wit django/Django-School-Management-System/apps/corecode/models.py changed, reloading.
INFO 2021-07-15 15:53:30,926 Watching for file changes with StatReloader
INFO 2021-07-15 15:53:35,138 /home/theprogrammer/Schoo wit django/Django-School-Management-System/apps/corecode/models.py changed, reloading.
INFO 2021-07-15 15:53:35,484 Watching for file changes with StatReloader
INFO 2021-07-15 15:53:50,800 /home/theprogrammer/Schoo wit django/Django-School-Management-System/apps/corecode/models.py changed, reloading.
INFO 2021-07-15 15:53:51,180 Watching for file changes with StatReloader
INFO 2021-07-15 15:53:53,356 /home/theprogrammer/Schoo wit django/Django-School-Management-System/apps/corecode/models.py changed, reloading.
INFO 2021-07-15 15:53:53,708 Watching for file changes with StatReloader
INFO 2021-07-15 15:53:54,871 /home/theprogrammer/Schoo wit django/Django-School-Management-System/apps/corecode/models.py changed, reloading.
INFO 2021-07-15 15:53:55,240 Watching for file changes with StatReloader
INFO 2021-07-15 15:54:25,685 /home/theprogrammer/Schoo wit django/Django-School-Management-System/apps/corecode/models.py changed, reloading.
INFO 2021-07-15 15:54:26,081 Watching for file changes with StatReloader
INFO 2021-07-15 16:04:47,892 /home/theprogrammer/Schoo wit django/Django-School-Management-System/apps/corecode/models.py changed, reloading.
INFO 2021-07-15 16:04:48,301 Watching for file changes with StatReloader
INFO 2021-07-15 16:04:52,491 /home/theprogrammer/Schoo wit django/Django-School-Management-System/apps/corecode/models.py changed, reloading.
INFO 2021-07-15 16:04:52,917 Watching for file changes with StatReloader
INFO 2021-07-15 16:06:49,833 "GET / HTTP/1.1" 302 0
INFO 2021-07-15 16:06:49,844 "GET / HTTP/1.1" 302 0
INFO 2021-07-15 16:06:50,265 "GET /accounts/login/?next=/ HTTP/1.1" 200 3981
INFO 2021-07-15 16:06:50,277 "GET /accounts/login/?next=/ HTTP/1.1" 200 3981
INFO 2021-07-15 16:06:53,132 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2021-07-15 16:06:53,314 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2021-07-15 16:06:53,459 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2021-07-15 16:06:53,548 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2021-07-15 16:06:53,890 "GET /static/dist/css/login-page.css HTTP/1.1" 304 0
INFO 2021-07-15 16:06:53,891 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2021-07-15 16:06:53,992 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2021-07-15 16:06:54,221 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2021-07-15 16:06:54,302 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2021-07-15 16:06:54,326 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2021-07-15 16:06:54,388 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2021-07-15 16:06:54,432 "GET /static/dist/img/login.png HTTP/1.1" 304 0
INFO 2021-07-15 16:06:54,476 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2021-07-15 16:06:54,874 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 0
WARNING 2021-07-15 16:06:55,849 Not Found: /favicon.ico
WARNING 2021-07-15 16:06:55,850 "GET /favicon.ico HTTP/1.1" 404 6202
WARNING 2021-07-15 16:06:55,865 Not Found: /favicon.ico
WARNING 2021-07-15 16:06:55,866 "GET /favicon.ico HTTP/1.1" 404 6202
INFO 2021-07-15 16:07:15,956 /home/theprogrammer/Schoo wit django/Django-School-Management-System/apps/corecode/migrations/0002_auto_20200506_1520.py changed, reloading.
INFO 2021-07-15 16:07:16,413 Watching for file changes with StatReloader
INFO 2021-07-15 16:07:18,728 /home/theprogrammer/Schoo wit django/Django-School-Management-System/apps/corecode/migrations/0002_auto_20200506_1520.py changed, reloading.
INFO 2021-07-15 16:07:19,180 Watching for file changes with StatReloader
INFO 2021-07-15 16:07:24,545 /home/theprogrammer/Schoo wit django/Django-School-Management-System/apps/corecode/migrations/0002_auto_20200506_1520.py changed, reloading.
INFO 2021-07-15 16:07:24,992 Watching for file changes with StatReloader
INFO 2021-07-15 16:07:35,408 /home/theprogrammer/Schoo wit django/Django-School-Management-System/apps/corecode/migrations/0002_auto_20200506_1520.py changed, reloading.
INFO 2021-07-15 16:07:35,841 Watching for file changes with StatReloader
INFO 2021-07-15 16:07:44,264 /home/theprogrammer/Schoo wit django/Django-School-Management-System/apps/corecode/migrations/0002_auto_20200506_1520.py changed, reloading.
INFO 2021-07-15 16:07:44,696 Watching for file changes with StatReloader
INFO 2021-07-15 16:07:51,059 /home/theprogrammer/Schoo wit django/Django-School-Management-System/apps/corecode/migrations/0002_auto_20200506_1520.py changed, reloading.
INFO 2021-07-15 16:07:51,499 Watching for file changes with StatReloader
INFO 2021-07-15 16:08:06,990 /home/theprogrammer/Schoo wit django/Django-School-Management-System/apps/corecode/migrations/0002_auto_20200506_1520.py changed, reloading.
INFO 2021-07-15 16:08:07,419 Watching for file changes with StatReloader
INFO 2021-07-15 16:08:15,797 /home/theprogrammer/Schoo wit django/Django-School-Management-System/apps/corecode/migrations/0002_auto_20200506_1520.py changed, reloading.
INFO 2021-07-15 16:08:16,251 Watching for file changes with StatReloader
INFO 2021-07-15 16:08:26,704 /home/theprogrammer/Schoo wit django/Django-School-Management-System/apps/corecode/migrations/0002_auto_20200506_1520.py changed, reloading.
INFO 2021-07-15 16:08:27,146 Watching for file changes with StatReloader
INFO 2021-07-15 16:08:30,509 /home/theprogrammer/Schoo wit django/Django-School-Management-System/apps/corecode/migrations/0002_auto_20200506_1520.py changed, reloading.
INFO 2021-07-15 16:08:30,929 Watching for file changes with StatReloader
INFO 2021-07-15 16:08:37,297 /home/theprogrammer/Schoo wit django/Django-School-Management-System/apps/corecode/migrations/0002_auto_20200506_1520.py changed, reloading.
INFO 2021-07-15 16:08:37,779 Watching for file changes with StatReloader
INFO 2021-07-15 16:08:42,130 /home/theprogrammer/Schoo wit django/Django-School-Management-System/apps/corecode/migrations/0002_auto_20200506_1520.py changed, reloading.
INFO 2021-07-15 16:08:42,580 Watching for file changes with StatReloader
INFO 2021-07-15 16:09:00,069 /home/theprogrammer/Schoo wit django/Django-School-Management-System/apps/corecode/migrations/0002_auto_20200506_1520.py changed, reloading.
INFO 2021-07-15 16:09:00,538 Watching for file changes with StatReloader
INFO 2021-07-15 16:09:05,888 /home/theprogrammer/Schoo wit django/Django-School-Management-System/apps/corecode/migrations/0002_auto_20200506_1520.py changed, reloading.
INFO 2021-07-15 16:09:06,348 Watching for file changes with StatReloader
INFO 2021-07-15 16:09:22,898 /home/theprogrammer/Schoo wit django/Django-School-Management-System/apps/corecode/migrations/0002_auto_20200506_1520.py changed, reloading.
INFO 2021-07-15 16:09:23,280 Watching for file changes with StatReloader
INFO 2021-07-15 16:09:34,734 /home/theprogrammer/Schoo wit django/Django-School-Management-System/apps/corecode/models.py changed, reloading.
INFO 2021-07-15 16:09:35,131 Watching for file changes with StatReloader
INFO 2021-07-15 16:11:00,754 /home/theprogrammer/Schoo wit django/Django-School-Management-System/templates/index.html changed, reloading.
INFO 2021-07-15 16:11:01,116 Watching for file changes with StatReloader
INFO 2021-07-15 16:11:03,465 /home/theprogrammer/Schoo wit django/Django-School-Management-System/templates/index.html changed, reloading.
INFO 2021-07-15 16:11:03,830 Watching for file changes with StatReloader
INFO 2021-07-15 16:11:07,147 /home/theprogrammer/Schoo wit django/Django-School-Management-System/templates/index.html changed, reloading.
INFO 2021-07-15 16:11:07,555 Watching for file changes with StatReloader
INFO 2021-07-15 16:11:08,839 /home/theprogrammer/Schoo wit django/Django-School-Management-System/templates/index.html changed, reloading.
INFO 2021-07-15 16:11:09,224 Watching for file changes with StatReloader
INFO 2021-07-15 16:11:13,609 /home/theprogrammer/Schoo wit django/Django-School-Management-System/templates/index.html changed, reloading.
INFO 2021-07-15 16:11:13,985 Watching for file changes with StatReloader
INFO 2021-07-15 16:11:17,317 /home/theprogrammer/Schoo wit django/Django-School-Management-System/templates/index.html changed, reloading.
INFO 2021-07-15 16:11:17,677 Watching for file changes with StatReloader
INFO 2021-07-15 16:13:22,887 /home/theprogrammer/Schoo wit django/Django-School-Management-System/manage.py changed, reloading.
